university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0002,imperial college london,United Kingdom,GB,united kingdom,2.0,98.5,98.5,99.5,98.2,93.9,99.6,100.0,93.4,99.7,True,8.0,95.1,90.9,95.5,98.6,90.9,98.3,11.8,61.0,42.0,True,10.0,90.4,82.8,90.8,98.3,59.8,97.5,11.2,61.0,40.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-6.0,6.0
U0003,university of oxford,United Kingdom,GB,united kingdom,3.0,96.9,100.0,100.0,100.0,84.8,97.7,98.1,100.0,85.0,True,1.0,98.5,96.6,100.0,99.0,98.7,97.5,10.9,42.0,49.0,True,1.0,96.4,92.3,99.7,99.0,74.9,96.2,10.6,42.0,48.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,2.0,2.0
U0004,harvard university,United States,US,united states,4.0,96.8,100.0,100.0,96.3,100.0,69.0,74.1,100.0,84.4,True,4.0,97.8,97.7,99.9,99.4,84.2,90.8,9.0,25.0,51.0,True,2.0,95.2,94.8,99.0,99.3,49.5,80.5,9.6,25.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,0.0,0.0
U0005,university of cambridge,United Kingdom,GB,united kingdom,5.0,96.7,100.0,100.0,100.0,84.6,94.8,100.0,100.0,84.8,True,5.0,97.5,95.8,100.0,98.0,87.9,97.4,11.5,38.0,48.0,True,3.0,94.8,90.9,99.5,97.0,54.2,95.8,11.3,39.0,47.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,0.0,0.0
U0006,stanford university,United States,US,united states,6.0,96.1,100.0,100.0,100.0,99.0,60.8,70.3,100.0,81.2,True,2.0,98.0,99.0,97.8,99.6,100.0,87.0,6.4,23.0,47.0,True,3.0,94.8,94.2,96.7,99.8,65.0,79.8,7.1,24.0,46.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,4.0,4.0
U0009,ucl,United Kingdom,GB,united kingdom,9.0,91.6,99.5,98.3,95.9,72.2,100.0,99.0,70.3,74.8,True,22.0,88.1,78.4,86.4,98.6,75.2,97.9,11.3,61.0,59.0,True,22.0,85.7,74.5,85.4,97.9,44.5,96.7,10.3,60.0,59.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-13.0,13.0
U0011,university of pennsylvania,United States,US,united states,11.0,90.3,96.3,91.9,99.8,74.0,66.2,90.9,100.0,93.0,True,16.0,91.0,87.7,89.7,97.6,97.7,78.8,6.2,22.0,54.0,True,14.0,88.8,86.0,88.8,97.0,75.8,71.5,6.3,23.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-5.0,5.0
U0014,peking university,China (Mainland),CN,china,14.0,88.5,99.5,96.6,92.6,97.7,23.6,50.3,94.2,46.9,True,14.0,91.8,95.6,97.3,87.2,98.8,70.2,10.9,14.0,53.0,True,17.0,88.1,92.5,96.7,80.4,91.8,65.0,10.3,19.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,0.0,0.0
U0016,cornell university,United States,US,united states,16.0,87.9,98.3,93.1,52.7,97.5,63.4,54.2,97.1,72.1,True,20.0,89.5,85.7,88.7,97.6,69.4,86.0,10.0,24.0,51.0,True,20.0,85.9,80.2,86.1,97.3,40.4,76.9,10.3,26.0,51.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-4.0,4.0
U0020,tsinghua university,China (Mainland),CN,china,20.0,86.5,99.2,97.7,95.0,99.1,13.4,18.1,92.3,40.4,True,12.0,92.4,95.3,98.1,93.2,99.9,51.7,11.2,10.0,53.0,True,16.0,88.2,90.1,97.4,88.0,100.0,40.3,11.6,10.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,8.0,8.0
