country_name,university_count
United States,280
United Kingdom,182
Japan,179
India,156
Turkey,115
Brazil,107
Pakistan,99
Germany,92
Spain,88
Algeria,86
Russian Federation,82
Italy,81
France,77
Iran,74
China (Mainland),71
Iraq,71
Nigeria,66
Colombia,58
Chile,57
Mexico,57
China,57
Poland,54
Uzbekistan,53
South Korea,52
Taiwan,52
Ukraine,48
Indonesia,47
Russia,47
Australia,46
Malaysia,45
Kazakhstan,43
Egypt,42
Saudi Arabia,39
Canada,37
Thailand,33
Argentina,32
Romania,32
Ecuador,28
Bangladesh,28
Jordan,26
Czech Republic,24
Portugal,22
Switzerland,20
Austria,19
Greece,19
South Africa,18
Peru,17
United Arab Emirates,17
Tunisia,16
Philippines,15
Sweden,15
Hungary,15
Morocco,15
Netherlands,14
Belgium,14
Finland,12
Slovakia,12
Turkmenistan,11
New Zealand,11
Venezuela,11
Ireland,10
Lebanon,10
Israel,10
Ghana,9
"Iran, Islamic Republic of",9
Norway,8
Denmark,8
Belarus,8
Vietnam,8
Unknown,7
Lithuania,7
Hong Kong SAR,7
Costa Rica,7
Georgia,7
Azerbaijan,7
Kuwait,6
Singapore,6
Sri Lanka,6
Bulgaria,6
Kenya,5
Cyprus,5
Oman,5
Latvia,5
Cuba,5
Northern Cyprus,5
Uruguay,5
Palestine,4
Bolivia,4
Bahrain,4
Armenia,4
Serbia,4
Slovenia,4
Yemen,4
Estonia,4
Croatia,4
"Palestinian Territory, Occupied",3
Paraguay,3
Ethiopia,3
Dominican Republic,3
Kyrgyzstan,3
Libya,3
Uganda,3
Somalia,3
Panama,2
Moldova,2
Bosnia and Herzegovina,2
Botswana,2
Luxembourg,2
Macau SAR,2
Hong Kong,2
Iceland,2
Sudan,2
Tanzania,2
Zimbabwe,2
Zambia,2
Qatar,2
Puerto Rico,2
Brunei,2
Angola,1
Albania,1
Cambodia,1
Brunei Darussalam,1
Fiji,1
Guatemala,1
Honduras,1
Mauritius,1
Malta,1
Macao,1
Malawi,1
Kosovo,1
Jamaica,1
Mozambique,1
North Macedonia,1
Senegal,1
Rwanda,1
Nepal,1
Montenegro,1
Mongolia,1
Namibia,1
Syrian Arab Republic,1
Turks and Caicos Islands,1
